Cluster,RA,DEC,Mass, rhm   ,rt,rho_c,sig0,vesc,c, d_Sun  
NGC_104,6.02379,-72.08131,8.95E+05,6.30,126.80,4.37,11.9,47.5,2.07,4.52
NGC_288,13.18850,-26.58261,9.34E+04,8.37,94.86,1.80,3.1,10.8,0.99,8.99
NGC_362,15.80942,-70.84878,2.84E+05,3.79,91.96,4.67,8.6,31.5,1.76,8.83
Whiting_1,30.73750,-3.25278,1.97E+03,15.49,48.59,0.25,0.4,1.3,0.55,30.59
NGC_1261,48.06754,-55.21622,1.82E+05,5.23,140.39,3.78,5.7,21.8,1.16,16.40
Pal_1,53.33350,79.58105,1.03E+03,3.56,23.78,1.68,0.5,1.9,2.57,11.18
AM_1,58.75959,-49.61528,1.92E+04,19.86,266.24,0.22,0.9,3.3,1.36,118.91
Eridanus       ,66.18561,-21.18678,1.16E+04,17.91,169.17,0.02,0.7,2.6,1.10,84.68
Pal_2,71.52462,31.38150,2.31E+05,8.06,161.79,2.96,5.1,19.6,1.53,26.17
NGC_1851,78.52816,-40.04655,3.18E+05,2.90,127.09,6.25,11.0,45.7,1.86,11.95
NGC_1904,81.04584,-24.52442,1.39E+05,3.21,65.68,4.49,6.5,26.2,1.70,13.08
NGC_2298,102.24754,-36.00531,5.58E+04,3.31,74.71,3.70,3.9,15.7,1.38,9.83
NGC_2419,114.53529,38.88194,9.71E+05,26.50,829.02,1.67,5.7,20.5,1.37,88.47
Pyxis          ,136.98690,-37.22660,2.46E+04,22.83,121.56,-0.33,1.0,3.2,nan,36.53
NGC_2808,138.01291,-64.86349,8.64E+05,3.89,165.91,4.56,14.1,54.7,1.56,10.06
E_3,140.23779,-77.28189,2.89E+03,6.14,20.79,1.03,0.6,2.3,0.75,7.88
Pal_3,151.38162,0.07167,1.89E+04,27.44,249.68,-0.57,0.8,2.5,0.99,94.84
NGC_3201,154.40343,-46.41248,1.6E+05,6.78,77.53,3.25,4.6,18.4,1.29,4.74
Pal_4,172.31833,28.97337,1.29E+04,21.30,198.06,-0.45,0.7,2.4,0.93,101.39
Crater         ,174.06875,-10.87697,1.08E+04,25.74,236.83,-0.69,0.6,1.9,nan,147.23
NGC_4147,182.52626,18.54264,3.9E+04,4.03,89.25,3.88,3.2,13.0,1.83,18.54
NGC_4372,186.43910,-72.65908,1.98E+05,8.53,75.02,2.08,4.5,15.7,1.30,5.71
Rup_106,189.66750,-51.15028,3.42E+04,11.57,71.64,0.92,1.6,5.6,0.70,20.71
